type,drugbank_id,groups,name,SMILES
biotech,DB00001,"['approved', 'withdrawn']",Lepirudin,
biotech,DB00002,['approved'],Cetuximab,
biotech,DB00003,['approved'],Dornase alfa,
biotech,DB00004,"['approved', 'investigational']",Denileukin diftitox,
biotech,DB00005,"['approved', 'investigational']",Etanercept,
small molecule,DB00006,"['approved', 'investigational']",Bivalirudin,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(O)=O)NC(=O)CNC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)CC1=CC=CC=C1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@@H](CC(C)C)C(O)=O
biotech,DB00007,"['approved', 'investigational']",Leuprolide,
biotech,DB00008,"['approved', 'investigational']",Peginterferon alfa-2a,
biotech,DB00009,"['approved', 'investigational']",Alteplase,
biotech,DB00010,"['approved', 'withdrawn']",Sermorelin,
biotech,DB00011,"['approved', 'investigational']",Interferon alfa-n1,
biotech,DB00012,"['approved', 'investigational']",Darbepoetin alfa,
biotech,DB00013,"['approved', 'investigational', 'withdrawn']",Urokinase,
small molecule,DB00014,['approved'],Goserelin,CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CN=CN1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O
biotech,DB00015,"['approved', 'investigational']",Reteplase,
biotech,DB00016,['approved'],Erythropoietin,
biotech,DB00017,"['approved', 'investigational']",Salmon calcitonin,
biotech,DB00018,"['approved', 'investigational']",Interferon alfa-n3,
biotech,DB00019,['approved'],Pegfilgrastim,
biotech,DB00020,"['approved', 'investigational']",Sargramostim,
biotech,DB00022,['approved'],Peginterferon alfa-2b,
biotech,DB00023,"['approved', 'investigational']",Asparaginase Escherichia coli,
biotech,DB00024,"['approved', 'vet_approved']",Thyrotropin alfa,
biotech,DB00025,"['approved', 'investigational']","Antihemophilic factor, human recombinant",
biotech,DB00026,"['approved', 'investigational']",Anakinra,
small molecule,DB00027,['approved'],Gramicidin D,CC(C)C[C@@H](NC(=O)CNC(=O)[C@@H](NC=O)C(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@H](C(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)NCCO
biotech,DB00028,"['approved', 'investigational']",Human immunoglobulin G,
biotech,DB00029,['approved'],Anistreplase,
biotech,DB00030,"['approved', 'investigational']",Insulin human,
biotech,DB00031,['approved'],Tenecteplase,
biotech,DB00032,['approved'],Menotropins,
biotech,DB00033,"['approved', 'investigational']",Interferon gamma-1b,
biotech,DB00034,"['approved', 'investigational']",Interferon alfa-2a,
small molecule,DB00035,['approved'],Desmopressin,NC(=O)CC[C@@H]1NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@H](CCCNC(N)=N)C(=O)NCC(N)=O
biotech,DB00036,['approved'],Coagulation factor VIIa Recombinant Human,
biotech,DB00038,"['approved', 'investigational']",Oprelvekin,
biotech,DB00039,['approved'],Palifermin,
biotech,DB00040,['approved'],Glucagon,
biotech,DB00041,['approved'],Aldesleukin,
biotech,DB00042,"['approved', 'investigational']",Botulinum toxin type B,
biotech,DB00043,"['approved', 'investigational']",Omalizumab,
biotech,DB00044,['approved'],Lutropin alfa,
biotech,DB00045,"['approved', 'withdrawn']",Lyme disease vaccine (recombinant OspA),
biotech,DB00046,['approved'],Insulin lispro,
biotech,DB00047,['approved'],Insulin glargine,
biotech,DB00048,"['approved', 'investigational']",Collagenase clostridium histolyticum,
biotech,DB00049,"['approved', 'investigational']",Rasburicase,
small molecule,DB00050,"['approved', 'investigational']",Cetrorelix,CC(C)C[C@H](NC(=O)[C@@H](CCCNC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=CC=CC=C2C=C1)NC(C)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O
biotech,DB00051,"['approved', 'experimental']",Adalimumab,
biotech,DB00052,"['approved', 'investigational']",Somatotropin,
biotech,DB00053,['approved'],Imiglucerase,
biotech,DB00054,['approved'],Abciximab,
biotech,DB00055,"['approved', 'investigational', 'withdrawn']",Drotrecogin alfa,
biotech,DB00056,"['approved', 'investigational']",Gemtuzumab ozogamicin,
biotech,DB00057,"['experimental', 'withdrawn']",Indium In-111 satumomab pendetide,
biotech,DB00058,['approved'],Alpha-1-proteinase inhibitor,
biotech,DB00059,"['approved', 'investigational']",Pegaspargase,
biotech,DB00060,"['approved', 'investigational']",Interferon beta-1a,
biotech,DB00061,['approved'],Pegademase,
biotech,DB00062,['approved'],Albumin human,
biotech,DB00063,"['approved', 'investigational']",Eptifibatide,
biotech,DB00065,['approved'],Infliximab,
biotech,DB00066,['approved'],Follitropin,
biotech,DB00067,['approved'],Vasopressin,
biotech,DB00068,['approved'],Interferon beta-1b,
biotech,DB00069,"['approved', 'investigational']",Interferon alfacon-1,
biotech,DB00070,"['approved', 'investigational']",Hyaluronidase (ovine),
biotech,DB00071,['approved'],Insulin pork,
biotech,DB00072,"['approved', 'investigational']",Trastuzumab,
biotech,DB00073,['approved'],Rituximab,
biotech,DB00074,"['approved', 'investigational']",Basiliximab,
biotech,DB00075,"['approved', 'investigational']",Muromonab,
biotech,DB00076,['approved'],Digoxin Immune Fab (Ovine),
biotech,DB00078,"['approved', 'investigational']",Ibritumomab tiuxetan,
small molecule,DB00080,"['approved', 'investigational']",Daptomycin,CCCCCCCCCC(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC(N)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@H]1[C@@H](C)OC(=O)[C@H](CC(=O)C2=CC=CC=C2N)NC(=O)[C@@H](NC(=O)[C@@H](CO)NC(=O)CNC(=O)[C@H](CC(O)=O)NC(=O)[C@@H](C)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCCN)NC(=O)CNC1=O)[C@H](C)CC(O)=O
biotech,DB00081,"['approved', 'investigational']",Tositumomab,
biotech,DB00082,['approved'],Pegvisomant,
biotech,DB00083,"['approved', 'investigational']",Botulinum toxin type A,
biotech,DB00085,"['approved', 'investigational']",Pancrelipase,
biotech,DB00086,"['approved', 'investigational']",Streptokinase,
biotech,DB00087,"['approved', 'investigational']",Alemtuzumab,
biotech,DB00088,"['approved', 'investigational', 'withdrawn']",Alglucerase,
biotech,DB00089,['approved'],Capromab pendetide,
biotech,DB00090,['approved'],Laronidase,
small molecule,DB00091,"['approved', 'investigational', 'vet_approved']",Cyclosporine,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C
biotech,DB00092,"['approved', 'investigational', 'withdrawn']",Alefacept,
biotech,DB00093,['experimental'],Felypressin,
biotech,DB00094,"['approved', 'vet_approved']",Urofollitropin,
biotech,DB00095,"['approved', 'investigational', 'withdrawn']",Efalizumab,
biotech,DB00097,['approved'],Choriogonadotropin alfa,
biotech,DB00098,['approved'],Antithymocyte immunoglobulin (rabbit),
biotech,DB00099,['approved'],Filgrastim,
biotech,DB00100,"['approved', 'investigational']",Coagulation Factor IX (Recombinant),
biotech,DB00102,"['approved', 'investigational']",Becaplermin,
biotech,DB00103,"['approved', 'investigational']",Agalsidase beta,
biotech,DB00104,"['approved', 'investigational']",Octreotide,
biotech,DB00105,['approved'],Interferon alfa-2b,
small molecule,DB00106,"['approved', 'investigational', 'withdrawn']",Abarelix,CC(C)C[C@H](NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)N(C)C(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=C(C=CC=C2)C=C1)NC(C)=O)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O
biotech,DB00107,"['approved', 'vet_approved']",Oxytocin,
biotech,DB00108,"['approved', 'investigational']",Natalizumab,
biotech,DB00109,"['approved', 'investigational']",Enfuvirtide,
biotech,DB00110,"['approved', 'investigational']",Palivizumab,
biotech,DB00111,"['investigational', 'withdrawn']",Daclizumab,
biotech,DB00112,"['approved', 'investigational']",Bevacizumab,
biotech,DB00113,['experimental'],Technetium Tc-99m arcitumomab,
small molecule,DB00114,"['approved', 'investigational', 'nutraceutical']",Pyridoxal phosphate,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O
small molecule,DB00115,"['approved', 'nutraceutical']",Cyanocobalamin,C[C@H](CNC(=O)CC[C@]1(C)[C@@H](CC(N)=O)[C@H]2N=C1\C(C)=C1/N=C(/C=C3\N=C(\C(\C)=C4\[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@@]2(C)N4[Co+]C#N)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]1CCC(N)=O)OP([O-])(=O)O[C@@H]1[C@@H](CO)O[C@@H]([C@@H]1O)N1C=NC2=C1C=C(C)C(C)=C2
small molecule,DB00116,['nutraceutical'],Tetrahydrofolic acid,NC1=NC(=O)C2=C(NCC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N2)N1
small molecule,DB00117,"['investigational', 'nutraceutical']",Histidine,N[C@@H](CC1=CNC=N1)C(O)=O
small molecule,DB00118,"['approved', 'investigational', 'nutraceutical']",Ademetionine,C[S+](CC[C@H](N)C([O-])=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N
small molecule,DB00119,"['approved', 'investigational', 'nutraceutical']",Pyruvic acid,CC(=O)C(O)=O
small molecule,DB00120,"['approved', 'investigational', 'nutraceutical']",Phenylalanine,N[C@@H](CC1=CC=CC=C1)C(O)=O
small molecule,DB00121,"['approved', 'investigational', 'nutraceutical']",Biotin,[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2
small molecule,DB00122,"['approved', 'nutraceutical']",Choline,C[N+](C)(C)CCO
small molecule,DB00123,"['approved', 'nutraceutical']",Lysine,NCCCC[C@H](N)C(O)=O
small molecule,DB00125,"['investigational', 'nutraceutical']",Arginine,N[C@@H](CCCNC(N)=N)C(O)=O
small molecule,DB00126,"['approved', 'nutraceutical']",Ascorbic acid,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO
small molecule,DB00127,"['experimental', 'nutraceutical']",Spermine,NCCCNCCCCNCCCN
small molecule,DB00128,"['approved', 'nutraceutical']",Aspartic acid,N[C@@H](CC(O)=O)C(O)=O
small molecule,DB00129,"['approved', 'nutraceutical']",Ornithine,NCCC[C@H](N)C(O)=O
small molecule,DB00130,"['approved', 'investigational', 'nutraceutical']",L-Glutamine,N[C@@H](CCC(N)=O)C(O)=O
small molecule,DB00131,"['approved', 'investigational', 'nutraceutical', 'withdrawn']",Adenosine phosphate,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1
small molecule,DB00132,"['approved', 'investigational', 'nutraceutical']",alpha-Linolenic acid,CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O
small molecule,DB00133,"['investigational', 'nutraceutical']",Serine,N[C@@H](CO)C(O)=O
small molecule,DB00134,"['approved', 'nutraceutical']",Methionine,CSCC[C@H](N)C(O)=O
small molecule,DB00135,"['approved', 'investigational', 'nutraceutical']",Tyrosine,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O
small molecule,DB00136,"['approved', 'nutraceutical']",Calcitriol,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C
small molecule,DB00137,"['approved', 'investigational', 'nutraceutical']",Lutein,C\C(\C=C\C=C(/C)\C=C\[C@H]1C(C)=C[C@H](O)CC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C
small molecule,DB00138,"['approved', 'nutraceutical']",Cystine,N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O
small molecule,DB00139,"['approved', 'nutraceutical']",Succinic acid,OC(=O)CCC(O)=O
small molecule,DB00140,"['approved', 'investigational', 'nutraceutical', 'vet_approved']",Riboflavin,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1
small molecule,DB00141,"['approved', 'investigational', 'nutraceutical']",N-Acetylglucosamine,[H]C(=O)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H](O)CO
small molecule,DB00142,"['approved', 'nutraceutical']",Glutamic acid,N[C@@H](CCC(O)=O)C(O)=O
small molecule,DB00143,"['approved', 'investigational', 'nutraceutical']",Glutathione,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O
small molecule,DB00144,"['investigational', 'nutraceutical']",Phosphatidyl serine,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(O)(=O)OC[C@H](N)C(O)=O)OC(=O)CCCCCCCCCCCCCCCCC
small molecule,DB00145,"['approved', 'nutraceutical', 'vet_approved']",Glycine,NCC(O)=O
small molecule,DB00146,"['approved', 'nutraceutical']",Calcifediol,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C
small molecule,DB00147,"['experimental', 'nutraceutical']",Pyridoxal,CC1=NC=C(CO)C(C=O)=C1O
small molecule,DB00148,"['approved', 'investigational', 'nutraceutical']",Creatine,CN(CC(O)=O)C(N)=N
small molecule,DB00149,"['investigational', 'nutraceutical']",Leucine,CC(C)C[C@H](N)C(O)=O
small molecule,DB00150,"['approved', 'nutraceutical', 'withdrawn']",Tryptophan,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O
small molecule,DB00151,"['approved', 'nutraceutical']",Cysteine,N[C@@H](CS)C(O)=O
small molecule,DB00152,"['approved', 'investigational', 'nutraceutical', 'vet_approved']",Thiamine,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N
small molecule,DB00153,"['approved', 'nutraceutical']",Ergocalciferol,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C
small molecule,DB00154,"['investigational', 'nutraceutical']",Dihomo-gamma-linolenic acid,CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(O)=O
small molecule,DB00155,"['investigational', 'nutraceutical']",Citrulline,N[C@@H](CCCNC(N)=O)C(O)=O
small molecule,DB00156,"['approved', 'nutraceutical']",Threonine,C[C@@H](O)[C@H](N)C(O)=O
small molecule,DB00157,"['approved', 'nutraceutical']",NADH,NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O
small molecule,DB00158,"['approved', 'nutraceutical', 'vet_approved']",Folic acid,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1
small molecule,DB00159,"['approved', 'nutraceutical']",Icosapent,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O
small molecule,DB00160,['nutraceutical'],Alanine,C[C@H](N)C(O)=O
small molecule,DB00161,"['approved', 'nutraceutical']",Valine,CC(C)[C@H](N)C(O)=O
small molecule,DB00162,"['approved', 'nutraceutical', 'vet_approved']",Vitamin A,C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C
small molecule,DB00163,"['approved', 'nutraceutical', 'vet_approved']",Vitamin E,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C
small molecule,DB00165,"['approved', 'investigational', 'nutraceutical', 'vet_approved']",Pyridoxine,CC1=C(O)C(CO)=C(CO)C=N1
